I10 Dx	MDC	DRG(s)	ICD-10-CM Description
A000	6	371-373	"Cholera due to Vibrio cholerae 01, biovar cholerae"
A001	6	371-373	"Cholera due to Vibrio cholerae 01, biovar eltor"
A009	6	371-373	"Cholera, unspecified"
A0100	18	867-869	"Typhoid fever, unspecified"
A0101	18	867-869	Typhoid meningitis
A0102	18	867-869	Typhoid fever with heart involvement
A0103	18	867-869	Typhoid pneumonia
A0104	18	867-869	Typhoid arthritis
A0105	18	867-869	Typhoid osteomyelitis
A0109	18	867-869	Typhoid fever with other complications
A011	18	867-869	Paratyphoid fever A
A012	18	867-869	Paratyphoid fever B
A013	18	867-869	Paratyphoid fever C
A014	18	867-869	"Paratyphoid fever, unspecified"
A020	6	371-373	Salmonella enteritis
A021	18	870-872	Salmonella sepsis
	25	974-976	
A0220	18	867-869	"Localized salmonella infection, unspecified"
	25	974-976	
A0221	1	023-027	Salmonella meningitis
	1	094-096	
	25	974-976	
A0222	4	177-179	Salmonella pneumonia
	25	974-976	
A0223	8	548-550	Salmonella arthritis
	25	974-976	
A0224	8	539-541	Salmonella osteomyelitis
	25	974-976	
A0225	18	867-869	Salmonella pyelonephritis
	25	974-976	
A0229	18	867-869	Salmonella with other localized infection
	25	974-976	
A028	18	867-869	Other specified salmonella infections
	25	974-976	
A029	18	867-869	"Salmonella infection, unspecified"
	25	974-976	
A030	6	371-373	Shigellosis due to Shigella dysenteriae
A031	6	371-373	Shigellosis due to Shigella flexneri
A032	6	371-373	Shigellosis due to Shigella boydii
A033	6	371-373	Shigellosis due to Shigella sonnei
A038	6	371-373	Other shigellosis
A039	6	371-373	"Shigellosis, unspecified"
A040	6	371-373	Enteropathogenic Escherichia coli infection
A041	6	371-373	Enterotoxigenic Escherichia coli infection
A042	6	371-373	Enteroinvasive Escherichia coli infection
A043	6	371-373	Enterohemorrhagic Escherichia coli infection
A044	6	371-373	Other intestinal Escherichia coli infections
A045	6	371-373	Campylobacter enteritis
A046	6	371-373	Enteritis due to Yersinia enterocolitica
A047	6	371-373	Enterocolitis due to Clostridium difficile
A048	6	371-373	Other specified bacterial intestinal infections
A049	6	371-373	"Bacterial intestinal infection, unspecified"
A050	6	371-373	Foodborne staphylococcal intoxication
A051	18	867-869	Botulism food poisoning
A052	6	371-373	Foodborne Clostridium perfringens [Clostridium welchii] intoxication
A053	6	371-373	Foodborne Vibrio parahaemolyticus intoxication
A054	6	371-373	Foodborne Bacillus cereus intoxication
A055	6	371-373	Foodborne Vibrio vulnificus intoxication
A058	6	371-373	Other specified bacterial foodborne intoxications
A059	6	391-392	"Bacterial foodborne intoxication, unspecified"
A060	6	371-373	Acute amebic dysentery
A061	6	371-373	Chronic intestinal amebiasis
A062	6	371-373	Amebic nondysenteric colitis
A063	18	867-869	Ameboma of intestine
A064	7	441-443	Amebic liver abscess
A065	4	177-179	Amebic lung abscess
A066	1	023-027	Amebic brain abscess
	1	097-099	
A067	9	606-607	Cutaneous amebiasis
A0681	18	867-869	Amebic cystitis
A0682	18	867-869	Other amebic genitourinary infections
A0689	18	867-869	Other amebic infections
A069	18	867-869	"Amebiasis, unspecified"
A070	6	371-373	Balantidiasis
A071	6	371-373	Giardiasis [lambliasis]
A072	6	371-373	Cryptosporidiosis
A073	6	371-373	Isosporiasis
	25	974-976	
A074	6	371-373	Cyclosporiasis
A078	6	371-373	Other specified protozoal intestinal diseases
A079	6	371-373	"Protozoal intestinal disease, unspecified"
A080	6	391-392	Rotaviral enteritis
A0811	6	391-392	Acute gastroenteropathy due to Norwalk agent
A0819	6	391-392	Acute gastroenteropathy due to other small round viruses
A082	6	391-392	Adenoviral enteritis
A0831	6	391-392	Calicivirus enteritis
A0832	6	391-392	Astrovirus enteritis
A0839	6	391-392	Other viral enteritis
A084	6	391-392	"Viral intestinal infection, unspecified"
A088	6	391-392	Other specified intestinal infections
A09	6	391-392	"Infectious gastroenteritis and colitis, unspecified"
A150	4	177-179	Tuberculosis of lung
	25	974-976	
A154	4	177-179	Tuberculosis of intrathoracic lymph nodes
	25	974-976	
A155	4	177-179	"Tuberculosis of larynx, trachea and bronchus"
	25	974-976	
A156	4	177-179	Tuberculous pleurisy
	25	974-976	
A157	4	177-179	Primary respiratory tuberculosis
	25	974-976	
A158	4	177-179	Other respiratory tuberculosis
	25	974-976	
A159	4	177-179	Respiratory tuberculosis unspecified
	25	974-976	
A170	1	023-027	Tuberculous meningitis
	1	094-096	
	25	974-976	
A171	1	023-027	Meningeal tuberculoma
	1	094-096	
	25	974-976	
A1781	1	023-027	Tuberculoma of brain and spinal cord
	1	094-096	
	25	974-976	
A1782	1	023-027	Tuberculous meningoencephalitis
	1	094-096	
	25	974-976	
A1783	1	023-027	Tuberculous neuritis
	1	094-096	
	25	974-976	
A1789	1	023-027	Other tuberculosis of nervous system
	1	094-096	
	25	974-976	
A179	18	867-869	"Tuberculosis of nervous system, unspecified"
	25	974-976	
A1801	8	456-458	Tuberculosis of spine
	8	539-541	
	25	974-976	
A1802	8	548-550	Tuberculous arthritis of other joints
	25	974-976	
A1803	8	539-541	Tuberculosis of other bones
	25	974-976	
A1809	8	548-550	Other musculoskeletal tuberculosis
	25	974-976	
A1810	11	689-690	"Tuberculosis of genitourinary system, unspecified"
	25	974-976	
A1811	11	689-690	Tuberculosis of kidney and ureter
	25	974-976	
A1812	11	689-690	Tuberculosis of bladder
	25	974-976	
A1813	11	689-690	Tuberculosis of other urinary organs
	25	974-976	
A1814	12	727-728	Tuberculosis of prostate
	25	974-976	
A1815	12	727-728	Tuberculosis of other male genital organs
	25	974-976	
A1816	13	742-743	Tuberculosis of cervix
	13	757-759	
	25	974-976	
A1817	13	742-743	Tuberculous female pelvic inflammatory disease
	13	757-759	
	25	974-976	
A1818	13	742-743	Tuberculosis of other female genital organs
	13	757-759	
	25	974-976	
A182	16	814-816	Tuberculous peripheral lymphadenopathy
	25	974-976	
A1831	6	371-373	Tuberculous peritonitis
	25	974-976	
A1832	6	371-373	Tuberculous enteritis
	25	974-976	
A1839	6	371-373	Retroperitoneal tuberculosis
	25	974-976	
A184	9	606-607	Tuberculosis of skin and subcutaneous tissue
	25	974-976	
A1850	2	124-125	"Tuberculosis of eye, unspecified"
	25	974-976	
A1851	2	124-125	Tuberculous episcleritis
	25	974-976	
A1852	2	124-125	Tuberculous keratitis
	25	974-976	
A1853	2	124-125	Tuberculous chorioretinitis
	25	974-976	
A1854	2	124-125	Tuberculous iridocyclitis
	25	974-976	
A1859	2	124-125	Other tuberculosis of eye
	25	974-976	
A186	3	154-156	Tuberculosis of (inner) (middle) ear
	25	974-976	
A187	10	643-645	Tuberculosis of adrenal glands
	25	974-976	
A1881	10	643-645	Tuberculosis of thyroid gland
	25	974-976	
A1882	18	867-869	Tuberculosis of other endocrine glands
	25	974-976	
A1883	6	371-373	"Tuberculosis of digestive tract organs, not elsewhere classified"
	25	974-976	
A1884	18	867-869	Tuberculosis of heart
	25	974-976	
A1885	16	814-816	Tuberculosis of spleen
	25	974-976	
A1889	18	867-869	Tuberculosis of other sites
	25	974-976	
A190	18	867-869	Acute miliary tuberculosis of a single specified site
	25	974-976	
A191	18	867-869	Acute miliary tuberculosis of multiple sites
	25	974-976	
A192	18	867-869	"Acute miliary tuberculosis, unspecified"
	25	974-976	
A198	18	867-869	Other miliary tuberculosis
	25	974-976	
A199	18	867-869	"Miliary tuberculosis, unspecified"
	25	974-976	
A200	18	867-869	Bubonic plague
A201	18	867-869	Cellulocutaneous plague
A202	4	177-179	Pneumonic plague
A203	18	867-869	Plague meningitis
A207	18	870-872	Septicemic plague
A208	18	867-869	Other forms of plague
A209	18	867-869	"Plague, unspecified"
A210	18	867-869	Ulceroglandular tularemia
A211	18	867-869	Oculoglandular tularemia
A212	4	177-179	Pulmonary tularemia
A213	6	371-373	Gastrointestinal tularemia
A217	18	867-869	Generalized tularemia
A218	18	867-869	Other forms of tularemia
A219	18	867-869	"Tularemia, unspecified"
A220	9	606-607	Cutaneous anthrax
A221	4	177-179	Pulmonary anthrax
A222	6	371-373	Gastrointestinal anthrax
A227	18	870-872	Anthrax sepsis
A228	18	867-869	Other forms of anthrax
A229	18	867-869	"Anthrax, unspecified"
A230	18	867-869	Brucellosis due to Brucella melitensis
A231	18	867-869	Brucellosis due to Brucella abortus
A232	18	867-869	Brucellosis due to Brucella suis
A233	18	867-869	Brucellosis due to Brucella canis
A238	18	867-869	Other brucellosis
A239	18	867-869	"Brucellosis, unspecified"
A240	18	867-869	Glanders
A241	18	867-869	Acute and fulminating melioidosis
A242	18	867-869	Subacute and chronic melioidosis
A243	18	867-869	Other melioidosis
